Gender,Previously_Insured,Vehicle_Age,Vehicle_Damage,Policy_Sales_Channel,Vintage,Age_Group,Annual_Premium_Treated,Region_Category,Response
0,1,1,0,152.0,203,2,29548.0,2,0
1,0,0,1,157.0,238,0,2630.0,2,1
0,0,0,1,26.0,22,0,38397.0,0,1
0,0,1,1,152.0,214,2,25086.0,2,0
0,0,1,1,152.0,57,2,34887.0,0,1
0,0,0,1,26.0,115,0,30840.0,0,0
1,0,0,1,26.0,91,0,50497.0,0,1
1,0,0,1,26.0,214,0,61800.375,0,1
1,0,2,1,26.0,71,0,43972.0,0,1
0,0,0,1,124.0,179,1,18708.0,0,1
1,0,2,1,124.0,141,1,36381.0,0,1
1,0,0,1,131.0,58,0,37816.0,2,1
0,0,0,1,163.0,228,0,26614.0,0,0
0,0,0,1,124.0,250,0,29093.0,0,0
0,1,0,1,124.0,63,0,28277.0,0,0
1,0,0,1,124.0,79,0,24739.0,0,1
0,1,1,0,152.0,89,2,32768.0,2,0
1,1,1,1,152.0,285,2,30078.0,0,0
0,1,0,0,108.0,59,0,25594.0,2,0
0,0,1,1,26.0,238,2,21996.0,0,1
0,0,0,1,26.0,36,1,27113.0,0,0
1,1,0,0,152.0,299,0,31541.0,0,0
1,0,0,1,124.0,267,0,55704.0,0,1
1,1,0,0,152.0,298,0,27498.0,0,0
1,1,1,0,152.0,144,2,28204.0,2,0
1,0,0,1,124.0,274,0,43753.0,0,1
0,0,1,1,152.0,47,2,32427.0,2,1
1,0,0,1,156.0,188,0,25631.0,0,0
1,0,0,1,26.0,200,0,2630.0,0,1
0,0,1,1,124.0,89,2,31013.0,0,1
0,1,1,0,160.0,202,2,30335.0,2,0
1,1,1,0,152.0,68,2,28900.0,0,0
1,1,1,0,152.0,258,2,31658.0,0,0
0,0,0,1,124.0,101,0,37564.0,0,1
1,0,0,1,124.0,141,0,32469.0,2,0
1,1,0,0,7.0,165,0,30061.0,0,0
1,1,0,0,21.0,36,0,27489.0,0,0
1,1,1,0,152.0,205,2,32729.0,2,0
1,1,1,0,152.0,81,2,31436.0,0,0
0,0,0,1,26.0,220,0,27152.0,2,1
0,0,1,1,156.0,40,2,26996.0,0,1
1,0,1,0,152.0,216,2,28117.0,0,0
1,0,0,1,29.0,50,0,32210.0,0,1
1,0,0,1,7.0,169,0,36937.0,0,1
0,0,0,1,26.0,150,0,50434.0,0,1
0,0,0,1,124.0,18,1,38571.0,0,1
1,0,2,1,163.0,93,1,37150.0,1,1
0,0,0,1,163.0,299,0,2630.0,0,1
0,0,0,1,124.0,60,0,35079.0,0,1
1,1,1,0,152.0,78,2,27049.0,0,0
1,0,0,1,124.0,275,0,43394.0,0,1
0,1,1,0,152.0,122,2,29213.0,2,0
1,0,0,1,124.0,154,0,37990.0,1,1
1,0,0,1,26.0,49,0,44184.0,1,1
1,0,1,0,152.0,226,2,29693.0,2,0
1,0,0,1,154.0,252,0,2630.0,2,1
1,0,0,1,26.0,272,0,23897.0,0,1
1,1,1,0,152.0,248,2,26654.0,2,0
1,1,0,0,124.0,43,2,25279.0,0,0
1,1,1,0,152.0,281,2,30987.0,0,0
1,1,1,0,152.0,25,2,26965.0,2,0
0,1,1,0,152.0,296,2,30543.0,0,0
0,0,0,1,124.0,252,0,52083.0,0,1
0,1,1,0,152.0,193,2,27892.0,0,0
1,0,0,1,124.0,271,0,30135.0,0,1
0,0,1,1,152.0,33,2,45402.0,0,1
1,1,1,0,152.0,213,2,32212.0,0,0
1,1,1,0,152.0,131,0,27220.0,2,0
0,1,1,0,151.0,213,2,29788.0,2,0
1,0,0,1,124.0,139,0,32070.0,0,1
0,1,1,0,152.0,159,2,27779.0,2,0
1,0,0,1,157.0,141,0,28003.0,0,1
0,0,0,1,26.0,298,0,36851.0,0,1
0,0,1,1,124.0,98,2,36062.0,0,1
1,0,0,1,26.0,26,0,44110.0,0,1
0,1,0,0,152.0,262,0,32309.0,0,0
1,1,0,0,124.0,36,0,29144.0,0,0
1,0,0,1,26.0,148,0,49694.0,0,1
0,0,2,1,124.0,293,0,28924.0,0,1
0,0,1,1,152.0,216,2,32659.0,0,0
0,0,1,1,157.0,299,0,2630.0,0,1
0,0,1,1,152.0,172,2,32398.0,2,0
0,0,0,1,14.0,172,0,24734.0,0,1
0,1,1,0,152.0,221,2,28620.0,0,0
1,0,1,1,152.0,228,2,29180.0,2,0
1,0,0,1,26.0,163,0,2630.0,1,1
1,0,0,1,26.0,65,0,24404.0,0,1
0,1,1,0,152.0,154,2,25184.0,0,0
0,1,1,0,152.0,263,2,28698.0,0,0
0,0,2,1,26.0,232,0,40844.0,0,1
1,0,0,1,26.0,215,0,36345.0,0,1
1,0,0,1,152.0,279,0,27028.0,2,0
0,1,1,0,152.0,125,2,27968.0,0,0
1,0,0,0,124.0,200,0,30916.0,2,0
0,1,1,0,152.0,117,2,26881.0,0,0
0,0,0,1,26.0,223,0,27231.0,0,0
1,0,0,1,51.0,183,0,42580.0,0,1
0,1,1,0,152.0,298,2,27035.0,0,0
0,0,0,1,156.0,294,0,28990.0,2,1
0,1,1,0,151.0,55,2,32668.0,2,0
0,0,0,1,124.0,51,0,41550.0,0,1
1,0,0,1,124.0,178,0,35551.0,0,1
0,1,1,0,152.0,223,2,28188.0,2,0
0,0,0,0,152.0,217,0,28430.0,2,0
1,1,1,0,152.0,99,2,29617.0,0,0
0,1,1,0,160.0,269,2,31097.0,0,0
1,0,0,1,26.0,78,0,28148.0,0,1
1,1,0,0,124.0,217,0,25836.0,0,0
0,1,0,0,124.0,159,0,28883.0,2,0
0,0,0,1,157.0,241,2,2630.0,0,1
1,0,1,1,152.0,235,2,37829.0,0,1
0,0,1,1,160.0,219,2,38639.0,2,1
0,1,1,0,152.0,154,2,32269.0,0,0
1,0,0,1,124.0,98,0,2630.0,1,1
0,0,0,1,14.0,162,0,30152.0,0,1
1,0,1,1,160.0,52,2,31843.0,0,0
1,0,0,1,26.0,217,0,35083.0,0,1
1,1,1,0,152.0,229,2,25604.0,2,0
1,0,0,1,26.0,105,0,27941.0,2,0
0,1,1,0,26.0,40,2,25634.0,2,0
1,1,1,0,152.0,229,2,31395.0,0,0
1,0,1,1,26.0,100,0,30594.0,0,1
1,1,1,0,151.0,115,2,26651.0,2,0
0,1,1,0,152.0,51,2,26147.0,0,0
1,0,0,1,124.0,295,0,31874.0,0,1
0,0,0,1,122.0,234,0,36616.0,0,1
1,0,0,1,157.0,215,0,2630.0,0,1
0,0,2,1,4.0,71,0,61800.375,0,1
1,0,0,0,26.0,182,0,31857.0,0,0
0,0,0,1,156.0,240,0,2630.0,0,1
0,0,0,1,26.0,237,0,36290.0,0,1
1,1,0,0,26.0,74,0,31802.0,1,0
1,0,0,1,124.0,287,0,33725.0,1,1
